tool		CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-fpi/condnf.yml	false	unknown	5.972083641	3.1292809270016733	174.505984				unknown	6.979807962	3.6470712709997315	178.274304			
array-fpi/eqn1.yml	true	unknown	6.470097738	3.3499649619989214	182.407168				unknown	6.721150568	3.483767619007267	178.544640			
array-fpi/eqn1f.yml	false	unknown	6.840638283	3.5665532290004194	176.578560				unknown	6.647861444	3.4558639339957153	174.501888			
array-fpi/eqn2.yml	true	unknown	6.488098667	3.373926374999428	173.412352				unknown	6.556707992	3.4083119940041797	176.156672			
array-fpi/eqn2f.yml	false	unknown	7.549834328	3.9126490100024967	178.335744				unknown	7.627360087	3.9070096259965794	175.140864			
array-fpi/eqn3.yml	true	unknown	6.640287116	3.4460143569995125	175.063040				unknown	6.427659923	3.345135449009831	173.674496			
array-fpi/eqn3f.yml	false	false(unreach-call)	6.454379779	3.366472973000782	176.783360				false(unreach-call)	6.415552869	3.3430748259997927	174.153728			
array-fpi/eqn4.yml	true	unknown	8.211820128	4.281217269999615	175.648768				unknown	6.94534534	3.6089980310061947	180.461568			
array-fpi/eqn4f.yml	false	false(unreach-call)	7.021622397	3.6223377540009096	176.754688				false(unreach-call)	7.094695574	3.68357540400757	185.655296			
array-fpi/eqn5.yml	true	unknown	7.088489914	3.6509772579993296	173.449216				unknown	7.339726016	3.815072577999672	174.419968			
array-fpi/eqn5f.yml	false	unknown	6.640397546	3.463018641999952	183.513088				unknown	7.135318894	3.7274974290048704	180.228096			
array-fpi/ifcomp.yml	true	unknown	6.807887994	3.5515569529998174	175.853568				unknown	7.212246483	3.74877636799647	177.164288			
array-fpi/ifcompf.yml	false	unknown	8.919679501	4.600526592999813	179.904512				unknown	7.104914545	3.70493428199552	181.592064			
array-fpi/ifeqn1.yml	true	unknown	6.378877235	3.3075671110018448	174.682112				unknown	6.78598933	3.49866501201177	179.474432			
array-fpi/ifeqn1f.yml	false	unknown	6.643931577	3.4278939819996594	178.163712				unknown	6.823431956	3.595051536001847	172.961792			
